14:35:58.508 Result,Phase,-2.263,3.586
14:35:59.125 Result,Phase,-2.363,2.343
14:35:59.731 Result,Phase,-1.776,5.868
14:36:06.440 Result,Phase,-0.097,6.138
14:36:07.053 Result,Phase,-0.705,6.096
14:36:07.667 Result,Phase,-0.921,6.066
14:36:13.909 Result,Phase,-1.615,2.659
14:36:14.524 Result,Phase,-1.627,2.560
14:36:15.133 Result,Phase,-1.616,2.654
14:36:42.747 Result,Phase,-2.704,5.241
14:36:43.366 Result,Phase,-2.673,5.376
14:36:43.974 Result,Phase,-2.640,5.513
14:36:51.055 Result,Phase,-2.842,5.409
14:36:53.164 Result,Phase,-3.358,5.094
14:36:53.777 Result,Phase,-2.806,5.428
14:37:00.029 Result,Phase,-1.585,9.154
14:37:00.638 Result,Phase,-1.520,9.307
14:37:01.240 Result,Phase,-1.575,9.177
14:37:08.153 Result,Phase,-3.063,8.787
14:37:09.259 Result,Phase,-3.190,8.741
14:37:09.875 Result,Phase,-3.751,8.512
14:37:16.055 Result,Phase,-3.798,8.381
14:37:16.675 Result,Phase,-1.966,12.417
14:37:17.294 Result,Phase,-2.078,12.216
14:37:40.950 Result,Phase,-1.935,12.472
14:37:41.577 Result,Phase,-1.814,12.682
14:37:42.197 Result,Phase,-1.581,13.076
14:38:23.601 Result,Phase,-5.301,12.047
14:38:24.179 Result,Phase,-5.208,12.087
14:38:25.537 Result,Phase,-5.233,12.076
14:38:49.157 Result,Phase,-5.505,11.954
14:38:49.792 Result,Phase,-5.530,11.942
14:38:50.419 Result,Phase,-5.859,11.783
14:39:13.803 Result,Phase,-2.694,12.890
14:39:14.443 Result,Phase,-2.753,12.878
14:39:15.068 Result,Phase,-2.565,12.917
14:39:21.293 Result,Phase,-4.307,9.223
14:39:21.914 Result,Phase,-4.254,9.362
14:39:22.520 Result,Phase,-4.041,9.898
14:39:28.835 Result,Phase,-3.314,10.168
14:39:29.454 Result,Phase,-4.268,9.801
14:39:30.039 Result,Phase,-5.191,9.339
14:39:36.219 Result,Phase,-2.518,14.660
14:39:36.820 Result,Phase,-2.421,14.808
14:39:37.413 Result,Phase,-2.398,14.843
14:39:44.893 Result,Phase,-3.378,14.650
14:39:46.533 Result,Phase,-3.081,14.715
14:39:47.655 Result,Phase,-3.230,14.683
14:39:54.088 Result,Phase,5.670,23.450
14:39:54.725 Result,Phase,-0.150,18.688
14:39:55.351 Result,Phase,1.125,19.975
14:40:02.128 Result,Phase,-6.416,18.940
14:40:02.740 Result,Phase,-5.437,19.246
14:40:03.373 Result,Phase,-4.948,19.378
14:40:09.618 Result,Phase,-2.875,21.787
14:40:10.248 Result,Phase,-2.588,22.085
14:40:10.876 Result,Phase,-2.734,21.934
14:40:17.069 Result,Phase,-2.863,21.917
14:40:17.959 Result,Phase,-3.025,21.895
14:40:18.583 Result,Phase,-2.880,21.915
14:40:24.844 Result,Phase,-2.564,22.239
14:40:25.483 Result,Phase,-2.701,22.100
14:40:26.112 Result,Phase,-2.982,21.808
14:40:51.117 Result,Phase,0.372,24.870
14:40:51.720 Result,Phase,0.008,24.578
14:40:52.342 Result,Phase,0.076,24.633
14:41:01.061 Result,Phase,8.935,22.960
14:41:02.169 Result,Phase,8.550,23.106
14:41:02.771 Result,Phase,7.990,23.306
14:41:09.370 Result,Phase,8.905,23.755
14:41:10.207 Result,Phase,8.221,23.423
14:41:10.807 Result,Phase,7.766,23.189
14:41:17.043 Result,Phase,8.964,22.753
14:41:17.671 Result,Phase,8.975,22.749
14:41:18.294 Result,Phase,8.389,22.971
14:42:21.568 Result,Phase,17.564,17.020
14:42:22.442 Result,Phase,17.598,16.985
14:42:23.078 Result,Phase,17.870,16.699
14:42:29.508 Result,Phase,7.377,11.145
14:42:30.130 Result,Phase,7.240,10.988
14:42:30.741 Result,Phase,7.108,10.833
14:42:37.455 Result,Phase,7.011,10.896
14:42:38.062 Result,Phase,6.985,10.913
14:42:38.693 Result,Phase,7.131,10.818
14:42:44.903 Result,Phase,7.398,11.128
14:42:45.526 Result,Phase,7.357,11.081
14:42:46.138 Result,Phase,7.288,11.001
14:43:09.495 Result,Phase,7.505,11.247
14:43:10.095 Result,Phase,7.250,10.958
14:43:10.697 Result,Phase,7.249,10.956
14:43:42.936 Result,Phase,27.007,15.261
14:43:44.777 Result,Phase,27.747,14.896
14:43:59.746 Result,Phase,21.578,22.944
14:44:00.329 Result,Phase,21.728,22.802
14:44:00.941 Result,Phase,21.516,23.002
14:44:25.003 Result,Phase,22.147,22.395
14:44:25.607 Result,Phase,21.651,22.875
14:44:26.449 Result,Phase,21.726,22.804
14:44:36.016 Result,Phase,19.546,22.866
14:44:36.647 Result,Phase,20.728,22.858
